Turn Number,Turn Time
127,0.8962893584130995 undocked start time:0.35227525873817456
128,0.8989593038449613 undocked start time:0.40139068546795187
129,0.8382463529275697 undocked start time:0.34070645246382014
130,1.1994192417404221 undocked start time:0.6461403329555324
131,0.9090220606907948 undocked start time:0.4831928411987363
132,1.2548267632901329 undocked start time:0.7141562492434517
133,1.3095877215330631 undocked start time:0.7393389874802523
134,1.7267191055764854 undocked start time:1.0295125790616027
135,1.5501154254989657 undocked start time:0.8878311124129752
136,1.817256430043365 undocked start time:1.014379879737632
137,1.8534992572316824 undocked start time:1.0222379213482071
138,1.8947188988075112 undocked start time:1.1856063356638344
139,1.8791144051925244 undocked start time:1.0073095294652035
140,1.9065707816564768 undocked start time:1.0782156986062859
141,1.5350623158207384 undocked start time:0.87909307188567
142,1.8919734662890662 undocked start time:1.2790187335153433
143,1.5582807487826713 undocked start time:0.9090991888009654
144,1.3120894620437369 undocked start time:0.7800839629734142
145,1.4081964206813353 undocked start time:0.8702426212396546
146,1.4465988349552816 undocked start time:0.9145814384639408
147,1.593029834219692 undocked start time:0.9920935481921447
148,1.5886478908949044 undocked start time:0.9698991139707545
149,1.227429873932465 undocked start time:0.5947549603016142
150,1.1016441825917838 undocked start time:0.5316781148576979
151,1.6630830813336388 undocked start time:1.042516050236486
152,1.7608035764468895 undocked start time:1.1226599515981661
153,1.8117430009316848 undocked start time:1.147249459795347
154,1.7753569944324141 undocked start time:1.1288654824216167
155,1.8931455674105706 undocked start time:1.237025349302158
156,1.8627443740582095 undocked start time:1.2060834386664823
157,1.8929072087295964 undocked start time:1.3882805477575033
158,1.8568465351632426 undocked start time:1.4058973465881195
159,1.8560051003014166 undocked start time:1.3486518785821744
160,1.8521425409527694 undocked start time:1.2397268844389515
161,1.864490833447178 undocked start time:1.292262204395584
162,1.8756321530681106 undocked start time:1.32746708414291
163,1.8667431383674256 undocked start time:1.4294854201204714
164,1.905269860180681 undocked start time:1.5043403023501867
165,1.8841191169816085 undocked start time:1.4713561378185318
166,1.8976313054794218 undocked start time:1.589464300146517
167,1.8666438564383299 undocked start time:1.447714731017669
168,1.856125715537587 undocked start time:1.3100705927335667
169,1.8621302209679413 undocked start time:1.3384164040004123
170,1.9183627671432504 undocked start time:1.5813847203469322
